optim,number,rep,radius,complete
Farmer,18,18,500,f
Farmer,19,19,500,f
Farmer,20,20,500,t
Farmer,21,21,500,t
Farmer,22,22,500,t
Farmer,23,23,500,t
Farmer,24,24,500,t
Farmer,25,25,500,t
Farmer,26,1,1000,t
Farmer,27,2,1000,t
Farmer,28,3,1000,t
Farmer,29,4,1000,t
Farmer,30,5,1000,t
Farmer,31,6,1000,t
Farmer,32,7,1000,t
Farmer,33,8,1000,t
Farmer,34,9,1000,t
Farmer,35,10,1000,t
Farmer,36,11,1000,t
Farmer,37,12,1000,t
Farmer,38,13,1000,t
Farmer,39,14,1000,t
Farmer,40,15,1000,t
Farmer,41,16,1000,t
Farmer,42,17,1000,t
Farmer,43,18,1000,t
Farmer,44,19,1000,t
Farmer,45,20,1000,t
Farmer,46,21,1000,t
Farmer,47,22,1000,t
Farmer,48,23,1000,t
Farmer,49,24,1000,t
Farmer,50,25,1000,t
Farmer,51,1,2000,t
Farmer,52,2,2000,t
Farmer,53,3,2000,t
Farmer,54,4,2000,t
Farmer,55,5,2000,t
Farmer,56,6,2000,t
Farmer,57,7,2000,t
Farmer,58,8,2000,t
Farmer,59,9,2000,t
Farmer,60,10,2000,t
Farmer,61,11,2000,t
Farmer,62,12,2000,t
Farmer,63,13,2000,t
Farmer,64,14,2000,t
Farmer,65,15,2000,t
Farmer,66,16,2000,t
Farmer,67,17,2000,t
Farmer,68,18,2000,t
Farmer,69,19,2000,t
Farmer,70,20,2000,t
Farmer,71,21,2000,t
Farmer,72,22,2000,t
Farmer,73,23,2000,t
Farmer,74,24,2000,t
Farmer,75,25,2000,t
FarmerOnly,1,1,500,t
FarmerOnly,2,2,500,t
FarmerOnly,3,3,500,t
FarmerOnly,4,4,500,t
FarmerOnly,5,5,500,t
FarmerOnly,6,6,500,t
FarmerOnly,7,7,500,t
FarmerOnly,8,8,500,t
FarmerOnly,9,9,500,t
FarmerOnly,10,10,500,t
FarmerOnly,11,11,500,t
FarmerOnly,12,12,500,t
FarmerOnly,13,13,500,t
FarmerOnly,14,14,500,t
FarmerOnly,15,15,500,t
FarmerOnly,16,16,500,t
FarmerOnly,17,17,500,t
FarmerOnly,18,18,500,t
FarmerOnly,19,19,500,t
FarmerOnly,20,20,500,t
FarmerOnly,21,21,500,t
FarmerOnly,22,22,500,t
FarmerOnly,23,23,500,t
FarmerOnly,24,24,500,t
FarmerOnly,25,25,500,t
FarmerOnly,26,1,1000,f
FarmerOnly,27,2,1000,f
FarmerOnly,28,3,1000,f
FarmerOnly,29,4,1000,t
FarmerOnly,30,5,1000,f
FarmerOnly,31,6,1000,f
FarmerOnly,32,7,1000,f
FarmerOnly,33,8,1000,f
FarmerOnly,34,9,1000,t
FarmerOnly,35,10,1000,t
FarmerOnly,36,11,1000,t
FarmerOnly,37,12,1000,t
FarmerOnly,38,13,1000,t
FarmerOnly,39,14,1000,t
FarmerOnly,40,15,1000,t
FarmerOnly,41,16,1000,t
FarmerOnly,42,17,1000,t
FarmerOnly,43,18,1000,t
FarmerOnly,44,19,1000,t
FarmerOnly,45,20,1000,t
FarmerOnly,46,21,1000,t
FarmerOnly,47,22,1000,t
FarmerOnly,48,23,1000,t
FarmerOnly,49,24,1000,t
FarmerOnly,50,25,1000,t
FarmerOnly,51,1,2000,t
FarmerOnly,52,2,2000,t
FarmerOnly,53,3,2000,t
FarmerOnly,54,4,2000,t
FarmerOnly,55,5,2000,t
FarmerOnly,56,6,2000,t
FarmerOnly,57,7,2000,t
FarmerOnly,58,8,2000,t
FarmerOnly,59,9,2000,t
FarmerOnly,60,10,2000,t
FarmerOnly,61,11,2000,t
FarmerOnly,62,12,2000,t
FarmerOnly,63,13,2000,t
FarmerOnly,64,14,2000,t
FarmerOnly,65,15,2000,t
FarmerOnly,66,16,2000,t
FarmerOnly,67,17,2000,t
FarmerOnly,68,18,2000,t
FarmerOnly,69,19,2000,t
FarmerOnly,70,20,2000,t
FarmerOnly,71,21,2000,t
FarmerOnly,72,22,2000,t
FarmerOnly,73,23,2000,t
FarmerOnly,74,24,2000,t
FarmerOnly,75,25,2000,t
