Species,Species_name,Code_ExpOp_GFS,Landclass_ExpOp_GFS,Flor_P1_b,Flor_p2_b,Flor_P3_b,Nest_per_ha,Total_score,Flor_Cov_P1_b,Flor_Cov_P2_b,Flor_Cov_P3_b
2,GroundNestingSolitaryBees,24,Woodland Edges,13.79310345,13.79310345,13.79310345,12.64,523.0344828,17.7890625,17.7890625,50.27514
2,GroundNestingSolitaryBees,25,Other1 (please state),15.2,15.2,15.2,12,547.2,5.204081633,5.204081633,73.95555556
2,GroundNestingSolitaryBees,26,Other2 (please state),NA,NA,NA,NA,NA,10,10,66.66666667
2,GroundNestingSolitaryBees,27,Berries (exc. Strawberries & Raspberries),12.76923077,12.76923077,12.76923077,6.2,237.5076923,0,27.17261905,46.97222222
2,GroundNestingSolitaryBees,28,Broad/Field Beans,9.161290323,9.161290323,9.161290323,8.125,223.3064516,0,21.49122807,26.96655133
2,GroundNestingSolitaryBees,29,Buckwheat,8,8,8,8,192,0,0,6.666666667
2,GroundNestingSolitaryBees,30,Cereal,1.828571429,1.828571429,1.828571429,8,43.8857143,3.12605042,3.12605042,10.53416149
2,GroundNestingSolitaryBees,31,Linseed/Flax,12,12,12,4.615384615,166.1538461,0,13.29931973,15.68047337
2,GroundNestingSolitaryBees,32,Maize,2.24,2.24,2.24,7.130434783,47.91652174,0.760869565,0.760869565,12.38095238
2,GroundNestingSolitaryBees,33,Oilseed Rape,16.22222222,16.22222222,16.22222222,8.275862069,402.7586206,0,29.53217956,19.77124183
2,GroundNestingSolitaryBees,34,Orchards,17.57142857,17.57142857,17.57142857,14.37037037,757.5238094,31.775,0,32.63333333
2,GroundNestingSolitaryBees,35,Organic Cereals,8.8,8.8,8.8,8,211.2,9.071180556,9.071180556,34.69387755
2,GroundNestingSolitaryBees,36,Organic Oilseed Rape,17.25,17.25,17.25,8,414,15.22491349,15.22491349,29.15555556
2,GroundNestingSolitaryBees,37,Peas,8,8,8,8.571428571,205.7142857,0,10.79365079,22.11734694
2,GroundNestingSolitaryBees,38,Potatoes,8,8,8,6.5,156,0,0,13.33333333
2,GroundNestingSolitaryBees,39,Reed Canary Grass,4,4,4,4,48,0,0,2.962962963
2,GroundNestingSolitaryBees,40,Strawberry/Raspberry in Polytunnels,9.428571429,9.428571429,9.428571429,4,113.1428571,0,48.44907407,61.61242604
2,GroundNestingSolitaryBees,41,Strawberry/Raspberry in the open,13.28,13.28,13.28,8.52173913,339.5060869,0,10.0308642,61.44470868
2,GroundNestingSolitaryBees,42,Sugar Beet,0,0,0,0,0,0,0,20
2,GroundNestingSolitaryBees,43,Vegetables,7.6,7.6,7.6,6,136.8,2.5,2.5,37.14285714
2,GroundNestingSolitaryBees,44,Other3 (please state),NA,NA,NA,NA,NA,NA,NA,NA
2,GroundNestingSolitaryBees,45,Other4 (please state),NA,NA,NA,NA,NA,NA,NA,NA
2,GroundNestingSolitaryBees,46,Urban,0,0,4,0,0,0,0,0
8,TreeNestingBumblebees,1,Afforestation,4,4,2,8.991112667,89.91112667,9.848484848,9.848484848,33.82154882
8,TreeNestingBumblebees,2,"Beaches, Sand Dunes/Plane",2,2,1.333333333,0,0,7.87037037,7.87037037,41.65
8,TreeNestingBumblebees,3,Coniferous Woodland,1.333333333,1.333333333,16,10.27555733,191.8104035,3.333333333,3.333333333,13.50877193
8,TreeNestingBumblebees,4,Deciduous woodland,16,16,10.28571429,16.1840028,684.3521185,16.43687131,16.43687131,44.67236467
8,TreeNestingBumblebees,5,Ditches,10.28571429,10.28571429,12.57142857,1.5413336,51.08419933,12.43367935,12.43367935,47.95937211
8,TreeNestingBumblebees,6,Fallow,12.57142857,12.57142857,20,1.284444667,57.98350211,13.68651893,13.68651893,47.5
8,TreeNestingBumblebees,7,Gardens,20,20,4,19.26667,847.73348,24.8816568,24.8816568,75.93425606
8,TreeNestingBumblebees,8,Golf Courses,4,4,17.33333333,2.568889333,65.07852976,11.05820106,11.05820106,40.83333333
8,TreeNestingBumblebees,9,Grass and Legume Ley,17.33333333,17.33333333,3.428571429,0,0,13.65,13.65,72.2
8,TreeNestingBumblebees,10,Grass Ley,3.428571429,3.428571429,14,0,0,6.25,6.25,21.93333333
8,TreeNestingBumblebees,11,Grassy Field Edges,14,14,18.4,0,0,11.79733333,11.79733333,38.83101852
8,TreeNestingBumblebees,12,Hedgerows,18.4,18.4,2.285714286,4.6240008,180.7323741,20.65044383,20.65044383,48.70185185
8,TreeNestingBumblebees,13,Improved Meadow,2.285714286,2.285714286,4.571428571,0,0,10.4476584,10.4476584,47.22222222
8,TreeNestingBumblebees,14,Improved Permanent Grassland,4.571428571,4.571428571,16.8,0.550476286,14.28092765,8.689458689,8.689458689,28.11016144
8,TreeNestingBumblebees,15,Moorland,16.8,16.8,8,3.853334,160.2986944,8.163265306,8.163265306,48.89066667
8,TreeNestingBumblebees,16,Organic Ley,8,8,NA,1.5413336,24.6613376,13.16666667,13.16666667,55.17037037
8,TreeNestingBumblebees,17,Poplar,NA,NA,20,0,0,10.95238095,10.95238095,8.888888889
