Code_Spatial,Landclass_Spatial,Dataset_Spatial,Landclass_Traffic,Landclass_ExpOp,Landclass_ExpOp_Lowland,Landclass_ExpOp_Upland,Code_ExpOp_GFS,Landclass_ExpOp_GFS
1018,Reedbeds,PriorityHabitats,,"Fen, Marsh and Swamp_Reedbeds","Fen, Marsh and Swamp_Reedbeds","Fen, Marsh and Swamp_Reedbeds",23,Wetlands
1019,Saline lagoons,PriorityHabitats,,Saltwater,Saltwater,Saltwater,0,Unsuitable
1020,Coastal saltmarsh,PriorityHabitats,,Saltmarsh,Saltmarsh,Saltmarsh,19,Salt Marsh
1021,Traditional orchard,PriorityHabitats,,Broadleaved Woodland,Broadleaved Woodland,Broadleaved Woodland,34,Orchards
1022,Upland calcareous grassland,PriorityHabitats,,Upland Semi-natural Grassland,Upland Semi-natural Grassland,Upland Semi-natural Grassland,22,Unimproved Permanent Grassland
1023,Upland hay meadow,PriorityHabitats,,Upland Semi-natural Grassland_Upland hay meadows,Upland Semi-natural Grassland_Upland hay meadows,Upland Semi-natural Grassland_Upland hay meadows,21,Unimproved Meadow
1024,Upland heathland,PriorityHabitats,,Upland Heathland,Upland Heathland,Upland Heathland,15,Moorland
1025,"Upland flushes, fens and swamps",PriorityHabitats,,"Bog_Upland flushes, fens & swamps","Bog_Upland flushes, fens & swamps","Bog_Upland flushes, fens & swamps",23,Wetlands
1026,Fragmented heath,PriorityHabitats,,,Lowland Heathland,Upland Heathland,15,Moorland
1027,Grass moorland,PriorityHabitats,,,Lowland Heathland_Heather grassland (i.e. low heather density),Upland Heathland_Heather grassland (i.e. low heather density),15,Moorland
1028,Good quality semi-improved grassland,PriorityHabitats,,Improved Grassland,Improved Grassland,Improved Grassland,22,Unimproved Permanent Grassland
180,Motorway,OSRoads,Motorway,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
181,A Road,OSRoads,A,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
182,B Road,OSRoads,Minor,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
183,Minor Road,OSRoads,Minor,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
184,Local Road,OSRoads,Minor,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
185,Local Access Road,OSRoads,Minor,"Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)","Dense urban (built-up areas with little vegetation, e.g. city centres & industrial estates)",0,Unsuitable
