species,code,lu,ref_to,Flor_P1_b,Flor_P1_l,Flor_P1_u,Flor_P2_b,Flor_P2_l,Flor_P2_u,Flor_P3_b,Flor_P3_l,Flor_P3_u,Nest_P1_b,Nest_P1_l,Nest_P1_u,Nest_per_ha
6,27,27,NA,9.846153846,6.774363255,12.91794444,9.846153846,6.774363255,12.91794444,9.846153846,6.774363255,12.91794444,0.311111111,0.250253049,0.371969173,6.222222222
6,28,28,NA,12.61538462,9.107152538,16.12361669,12.61538462,9.107152538,16.12361669,12.61538462,9.107152538,16.12361669,0.233333333,0.114415655,0.352251011,4.666666667
6,29,29,NA,8,4,12,8,4,12,8,4,12,0.4,0.2,0.6,8
6,30,30,NA,2.4,1.228919912,3.571080088,2.4,1.228919912,3.571080088,2.4,1.228919912,3.571080088,0.123076923,0.064606388,0.181547458,2.461538462
6,31,31,NA,12.30769231,10.31625766,14.29912696,12.30769231,10.31625766,14.29912696,12.30769231,10.31625766,14.29912696,0.246153846,0.095940323,0.396367369,4.923076923
6,32,32,NA,2.4,1.228919912,3.571080088,2.4,1.228919912,3.571080088,2.4,1.228919912,3.571080088,0.128571429,0.071154503,0.185988354,2.571428571
6,33,33,NA,14.66666667,12.41292199,16.92041135,14.66666667,12.41292199,16.92041135,14.66666667,12.41292199,16.92041135,0.266666667,0.117595468,0.415737865,5.333333333
6,34,34,NA,17.42857143,16.28023293,18.57690993,17.42857143,16.28023293,18.57690993,17.42857143,16.28023293,18.57690993,0.528571429,0.273943926,0.783198931,10.57142857
6,35,35,NA,6.181818182,4.975772804,7.38786356,6.181818182,4.975772804,7.38786356,6.181818182,4.975772804,7.38786356,0.15,0.062961172,0.237038828,3
6,36,36,NA,13.33333333,12.20646099,14.46020567,13.33333333,12.20646099,14.46020567,13.33333333,12.20646099,14.46020567,0.266666667,0.117595468,0.415737865,5.333333333
6,37,37,NA,10,8.450806662,11.54919334,10,8.450806662,11.54919334,10,8.450806662,11.54919334,0.4,0.245080666,0.554919334,8
6,38,38,NA,8,8,8,8,8,8,8,8,8,0.28,0.202540333,0.357459667,5.6
6,39,39,NA,4,4,4,4,4,4,4,4,4,0.5,0.358578644,0.641421356,10
6,40,40,NA,9.846153846,5.778352407,13.91395529,9.846153846,5.778352407,13.91395529,9.846153846,5.778352407,13.91395529,0.114285714,0.006019322,0.222552107,2.285714286
6,41,41,NA,12.66666667,10.73866985,14.59466348,12.66666667,10.73866985,14.59466348,12.66666667,10.73866985,14.59466348,0.56,0.51131355,0.60868645,11.2
6,42,42,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
6,43,43,NA,7.6,5.303464768,9.896535232,7.6,5.303464768,9.896535232,7.6,5.303464768,9.896535232,0.177777778,0.056061654,0.299493902,3.555555556
6,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,46,46,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,NA,16,11.2,20.8,16,11.2,20.8,16,11.2,20.8,1,0.8,1.2,20
7,2,2,NA,16,9.6,22.4,16,9.6,22.4,16,9.6,22.4,0.4,0.24,0.56,8
7,3,3,NA,8,7.2,8.8,8,7.2,8.8,8,7.2,8.8,0.6,0.42,0.78,12
