"","gnb","tnb","gns","farmer","optim","rep","landscape"
"136",-9492228370999.16,-2704315064372.26,-200321012.059716,-660312.342429032,"GNS",56,1
"137",-9567733205972.18,-2734280887319.3,-200104601.890216,-659726.154819772,"GNS",56,2
"138",-9609451472118.01,-2843460918493.51,-199698455.342228,-657164.254070801,"GNS",56,3
"139",-8137961533985.44,-1139750203034.69,-201211655.458453,-730872.661728055,"GNS",57,1
"140",-8009565661512.17,-1246444620073.5,-199810768.469224,-722617.261578412,"GNS",57,2
"141",-8635179418031.56,-1433963102456.01,-199056038.226764,-723095.34586063,"GNS",57,3
"142",-9739366620187.33,-2133980415894.26,-198414274.251299,-661984.334372619,"GNS",58,1
"143",-8794018470533.86,-2224148985794.18,-199044426.268878,-654908.967012233,"GNS",58,2
"144",-8979829756038.79,-2259290555486.01,-198759869.788828,-667115.00074884,"GNS",58,3
"145",-8810544851046.56,-2126973765422.45,-201123595.534049,-679469.584358688,"GNS",59,1
"146",-8362006401290.07,-1694514884328.75,-200324384.417215,-687185.670228873,"GNS",59,2
"147",-9313851672689.29,-2613812967838.8,-198241522.290378,-635849.195658828,"GNS",59,3
"148",-7360292801758.24,-981217253810.766,-197540067.985142,-712300.064113091,"GNS",60,1
"149",-7291479359566.86,-816525399402.792,-197452807.755446,-748173.561015918,"GNS",60,2
"150",-7573121102611.26,-1175950765575.49,-197070135.587941,-697962.671176342,"GNS",60,3
"151",-10031150644432.4,-2863614459255.26,-197032270.250174,-624875.550271792,"GNS",61,1
"152",-9246796256352.6,-2144765591700.55,-196324634.63653,-629492.305702755,"GNS",61,2
"153",-9738369046618.04,-2606032575179.69,-194902140.423679,-626226.295286426,"GNS",61,3
"154",-8604772991222.11,-1239134874290.99,-200077344.615349,-700311.080002254,"GNS",62,1
"155",-7860051114804.64,-1188423264707.14,-199289508.107075,-709340.995375443,"GNS",62,2
"156",-9040489170301.26,-1320547226602.48,-198843960.222521,-693641.130857781,"GNS",62,3
"157",-9329665603684.9,-1308023691509.99,-202090091.944589,-699848.902033183,"GNS",63,1
"158",-9063857914231.85,-1549838330704.97,-199996864.256699,-701356.718236205,"GNS",63,2
"159",-9025846907694.01,-1392678302475.01,-199847512.494936,-705882.535903572,"GNS",63,3
"160",-8366177343306.44,-1373379248023.02,-198707614.398477,-685466.833293212,"GNS",64,1
"161",-8908354699929.76,-2243424563128.09,-198580734.680807,-673637.838975766,"GNS",64,2
"162",-8051818916433.11,-1182588237213.63,-197920579.219866,-708561.452962833,"GNS",64,3
"163",-9225537244094.54,-2526313737474.46,-198380415.705542,-619597.247021687,"GNS",65,1
"164",-8994854406874.62,-2390908396512.44,-198333546.264849,-642985.095934437,"GNS",65,2
"165",-9019654547338.2,-2305074243032.44,-197916471.317631,-662912.461431598,"GNS",65,3
"166",-8717443554413.02,-1282196113680.6,-206106539.130018,-715960.909360417,"GNS",66,1
"167",-8158546718022.99,-753439510798.738,-202180365.893362,-736559.292149147,"GNS",66,2
"168",-8720003268341.46,-1046588408185.43,-202371470.615814,-695960.84740818,"GNS",66,3
"169",-9683254813430.59,-1911242958041.45,-199414914.366243,-662964.297021556,"GNS",67,1
"170",-9256510913264.54,-2153659925183.43,-198967360.195124,-653423.736452807,"GNS",67,2
"171",-9776012779697.66,-2077713734708.15,-199094583.428212,-663017.378896178,"GNS",67,3
"172",-9176880706714.82,-2295288045596.48,-204404406.619905,-645729.678516872,"GNS",68,1
"173",-9100962218869.72,-2241367835593.08,-203790045.110701,-653870.970989468,"GNS",68,2
"174",-9021300671824.2,-2492876345639.9,-203411456.685318,-654044.344282342,"GNS",68,3
"175",-8852830613287.85,-1373996553072.27,-199373282.904428,-678011.631437712,"GNS",69,1
"176",-7460544870685.02,-903255798700.141,-199571815.31443,-750015.971860972,"GNS",69,2
"177",-7208209593421.53,-1162759990591.73,-196632186.832929,-724119.674273057,"GNS",69,3
"178",-9095286877740.61,-1453647975757.25,-200921954.201492,-686049.17357808,"GNS",70,1
"179",-9370520607121.65,-1939797359272.16,-200692782.221865,-663438.461415819,"GNS",70,2
"180",-8406389560341.82,-1265154135607.15,-201068069.877872,-709439.796723714,"GNS",70,3
"181",-8334079752584.01,-1702535121679.84,-199844599.803939,-704890.779926348,"GNS",71,1
"182",-8522231467310.97,-1910683893521.58,-199487594.193959,-692767.060582798,"GNS",71,2
"183",-8825327340463.78,-1921736378409.94,-199534826.858251,-670196.207729367,"GNS",71,3
"184",-10375417051515.3,-2628029548503.19,-200894901.277761,-626000.163926308,"GNS",72,1
"185",-10117937298749.6,-2638745898845.34,-200860905.257481,-636440.453027037,"GNS",72,2
"186",-9554169258052.4,-1986488335457.84,-200527382.624536,-677262.07114399,"GNS",72,3
"187",-8911654638333.74,-1408539110906.57,-200439812.527826,-675261.96648796,"GNS",73,1
"188",-9816805556190.37,-2161935299232.47,-199935047.386995,-633986.023982513,"GNS",73,2
"189",-8677744737632.14,-2122725990102.99,-198405715.838124,-693485.983165209,"GNS",73,3
"190",-7762491710905.42,-1285119146751.85,-200615069.490869,-701285.761427104,"GNS",76,1
"191",-8910492695556.03,-1980215162052.71,-199424403.085629,-671471.551062266,"GNS",76,2
"192",-7802441391175.88,-1329173600461.48,-199591476.878212,-730414.521856663,"GNS",76,3
"193",-7751314546427.95,-6321541470999.59,-169888466.63143,-503762.119389622,"AllBees",51,1
"194",-9839910451640.63,-5984475426811.78,-182935474.956798,-501728.768582353,"AllBees",51,2
"195",-9436139944832.97,-2993560734000.48,-198379131.483838,-629340.174397147,"AllBees",51,3
"196",-8608597797635.52,-3530920513745.86,-191813649.594392,-597487.690090936,"AllBees",51,4
"197",-9079778647621.37,-4700627879699.75,-185866414.898601,-552095.052006198,"AllBees",51,5
"198",-9509019308845.5,-4296792481302.25,-189643819.030786,-600710.009968934,"AllBees",51,6
"199",-9430049718648.04,-5500648281917.96,-182930990.574568,-520539.514851135,"AllBees",51,7
"200",-9555041744044.97,-4489329176283.89,-188546357.924853,-572451.75899307,"AllBees",51,8
"201",-8861924994820.39,-5686072861281.78,-181094979.329967,-528861.225983664,"AllBees",51,9
"202",-9042040372653.9,-4581242724899.05,-186397792.806875,-592384.360067295,"AllBees",51,10
"203",-9155838609633.56,-5678710903069.75,-182566026.864395,-523658.364702467,"AllBees",51,11
"204",-9532457207877.1,-4605849384096.99,-184360542.466218,-560141.731258107,"AllBees",51,12
"205",-9520161476744.65,-4604718820373.51,-184570748.920877,-562810.467982485,"AllBees",51,13
"206",-10047165697285.5,-4172257845202.59,-191964203.519849,-583370.821152251,"AllBees",52,1
"207",-7899053510583.05,-2806869719999.68,-195945189.060909,-659135.96870722,"AllBees",52,2
"208",-7126495887571.77,-6463897321138.32,-163605430.155598,-478425.175917106,"AllBees",52,3
"209",-7030578963469.23,-6412931869370.58,-165193666.392815,-472493.963584014,"AllBees",52,4
"210",-9805192649406.74,-5194779800864.09,-191352940.211457,-584836.653018762,"AllBees",52,5
"211",-9730746414065.81,-4514676360558.86,-187277887.370245,-566866.807621969,"AllBees",52,6
"212",-7554014821192.96,-6035543169962.7,-168212722.348964,-495442.543869151,"AllBees",52,7
"213",-7892560174134.67,-4864952534520.12,-177741004.971845,-584594.994185924,"AllBees",52,8
"214",-8358198017642.61,-3215004372062.33,-193696417.224366,-608962.990920253,"AllBees",52,9
"215",-8251502871732.73,-3366038828231.05,-193171363.060067,-628208.261717634,"AllBees",52,10
"216",-7275670393594.29,-5435894814834.13,-170876250.159239,-521828.485810235,"AllBees",52,11
"217",-7788669802423.62,-5272500513971.03,-175435378.673131,-560381.722797401,"AllBees",52,12
"218",-7709280542329.94,-4884935931361.71,-173412271.999967,-516359.382224569,"AllBees",52,13
"219",-8108228237478.82,-3156741141002.28,-194718058.043234,-655428.05390881,"AllBees",52,14
"220",-7603533784832.95,-6349570527710.06,-170225039.819959,-498927.29907334,"AllBees",52,15
"221",-10034121998723,-4309848613460.04,-188162280.717542,-571296.780758825,"AllBees",52,16
"222",-9775496431864.68,-4293098021064.91,-188923370.430219,-591559.870515401,"AllBees",52,17
"223",-7286504253412.7,-5242112119008.97,-174012190.369762,-526093.148836956,"AllBees",52,18
"224",-7084852788955.98,-6171915362936.05,-164598475.245833,-470047.474091258,"AllBees",52,19
"225",-7893069625303.05,-1897829406023.94,-192482826.314084,-689716.529178162,"AllBees",53,1
"226",-7426672978050.35,-5579045654391.91,-175819901.198341,-584962.238705137,"AllBees",53,2
"227",-10357640321179,-3603966098444.04,-188850275.675169,-604409.728772932,"AllBees",53,3
"228",-7733485100007.17,-7858299926018.41,-166987669.440716,-466393.861115451,"AllBees",53,4
"229",-8176392896479.95,-2193656487278.53,-192897167.260277,-652186.226660415,"AllBees",53,5
"230",-7863977233691.77,-7573939913770.32,-169355948.601334,-478877.785750702,"AllBees",53,6
"231",-8090977115329.73,-6852903522928.64,-173205587.124738,-503451.445594178,"AllBees",53,7
"232",-9762807794996.13,-3054583414110.92,-191504176.805717,-614289.528996021,"AllBees",53,8
"233",-7629296482140.28,-5073872522221.29,-176529018.131739,-581979.099121381,"AllBees",53,9
"234",-9783635351292.36,-3789073846899.87,-184378528.903383,-578446.711846587,"AllBees",53,10
"235",-7849073863023.7,-7800094255517.26,-167835139.483517,-473818.479139729,"AllBees",53,11
"236",-10134812718408.6,-3390133149601.18,-189030794.392428,-576494.901024159,"AllBees",53,12
"237",-8727899155450.1,-4415152577411.56,-180062395.035811,-571692.666422709,"AllBees",53,13
"238",-7704926629758.41,-6518058514495.32,-172016936.638909,-498930.241122319,"AllBees",53,14
"239",-9494294258283.07,-4673681410294.21,-182617752.546514,-566683.949847462,"AllBees",53,15
"240",-9675564327450.78,-3656300047205.59,-185302862.785119,-594811.593254237,"AllBees",53,16
"241",-8914011141820.2,-4206080633560.69,-180276277.487135,-558532.334710554,"AllBees",53,17
"242",-8022972643431.45,-7376086937417.02,-172090731.231057,-479114.054648179,"AllBees",53,18
"243",-8061370611777.41,-5746869622530.92,-175365112.343028,-559705.478935937,"AllBees",53,19
"244",-7859741317535.01,-6177892898656.87,-173271716.326741,-537307.176495971,"AllBees",53,20
"245",-9724534063830.8,-3110672234657.82,-190887436.625127,-595896.847687847,"AllBees",53,21
"246",-9891856296831.72,-4285879758633,-183570664.381654,-576122.926625168,"AllBees",53,22
"247",-7936534850878.21,-6044087086100.46,-175568789.256209,-544362.437857405,"AllBees",53,23
"248",-9524219669901.61,-4110365311832.73,-184514926.597111,-579739.470621882,"AllBees",53,24
"249",-7750731180538.34,-6176778196595.88,-174680809.031214,-531751.754081091,"AllBees",53,25
"250",-7934636585313.15,-5065278266590.64,-178743234.910569,-571115.973187837,"AllBees",53,26
"251",-8272266778738.93,-4829180007087.7,-179136385.34579,-577504.077257932,"AllBees",53,27
"252",-8115514490579.91,-4563479036431.51,-181962200.511143,-593076.143399403,"AllBees",53,28
"253",-7681917841177.95,-4717286770700.91,-181024045.210771,-588376.774917694,"AllBees",53,29
"254",-7901547163744.81,-6004479880275.76,-173718960.085609,-545838.693377375,"AllBees",53,30
"255",-9659813325539.13,-3722152423447.83,-189369517.349553,-616974.738266853,"AllBees",53,31
"256",-8124650712685.53,-4910989752399.58,-176009711.354013,-566878.029895591,"AllBees",53,32
"257",-7721886575341.9,-4111277931924.7,-181461346.044509,-608918.389129328,"AllBees",53,33
"258",-7205266194250.28,-6797943591390.33,-164559591.551728,-485811.650372071,"AllBees",54,1
"259",-10059221293213.9,-3720456874544.24,-194493071.45335,-614973.482481419,"AllBees",54,2
"260",-9858495632480.14,-6552011245912.62,-183439648.924023,-531959.333050495,"AllBees",54,3
"261",-9384296655517.58,-4910742551213.24,-183914897.460126,-554391.377114408,"AllBees",54,4
"262",-8240195390825.52,-6519091776046.43,-172152367.573229,-516663.772743994,"AllBees",54,5
"263",-8133991991915.73,-6767776397748.58,-172311037.195839,-486073.200235087,"AllBees",54,6
"264",-8825910475938.73,-3689669489931.86,-189138165.002258,-599535.440980463,"AllBees",54,7
"265",-8825748194621.83,-4182584321042.8,-188065126.899081,-576288.881029142,"AllBees",54,8
"266",-10017419440835.1,-4001459277079.3,-190702721.687984,-578921.856414832,"AllBees",54,9
"267",-10051830253843.1,-5287663173861.72,-196209730.553872,-579589.937184349,"AllBees",55,1
"268",-9103016553833.06,-3707816675883.91,-199239905.487023,-635968.790505506,"AllBees",55,2
"269",-7899528525425.11,-7503180576093.27,-171102443.223876,-477675.10511792,"AllBees",55,3
"270",-9632513035154.01,-4127322406292.77,-197738469.453641,-602054.703827784,"AllBees",55,4
"271",-9876029635707.37,-6644819680471.85,-191024061.24627,-516541.91052817,"AllBees",55,5
"272",-8699623952493.76,-7199178408819.58,-177923571.473241,-492860.655526041,"AllBees",55,6
"273",-9005078569951.55,-5554792716866.57,-190001510.746923,-558857.267304682,"AllBees",55,7
"274",-8244634150346.53,-7136089767749.88,-173417209.502283,-487526.450843706,"AllBees",55,8
"275",-8711399008419.71,-6737991595936.33,-177358528.507111,-505201.39926903,"AllBees",55,9
"276",-9870547000262.33,-5363803230196.81,-195010048.328707,-569120.092726103,"AllBees",55,10
"277",-9198773260096.51,-4528075604196.28,-183753777.347684,-560915.572481665,"AllBees",56,1
"278",-7478025723499.19,-6161196303372.36,-163840136.954984,-482219.465292126,"AllBees",56,2
"279",-8020968813318.43,-1384739092266.23,-195970776.090659,-698522.117164494,"AllBees",56,3
"280",-7225321801523.93,-5675917850740.3,-165352541.291626,-499295.976139162,"AllBees",56,4
"281",-8855619996506.03,-2633033842194.04,-189856522.738394,-627800.710664284,"AllBees",56,5
"282",-8740720733425.64,-4125891045921.53,-184576629.941097,-578877.802123078,"AllBees",56,6
"283",-8173265152175.89,-1604811209717.59,-191730510.672831,-699194.388833267,"AllBees",56,7
"284",-8489387609996.08,-5434430100457.63,-172152076.497694,-505210.958048285,"AllBees",56,8
"285",-8360815056084.98,-5393039548809.1,-180602706.383169,-585426.231824227,"AllBees",56,9
