"","X.1","X","gnb","tnb","gns","farmer","optim","rep","landscape"
"133",133,133,102703366429203,37596600559517.2,5580033296.86275,7906684.41390546,"GNS",55,1
"134",134,134,104242499769480,39643082308019.8,5574116404.25938,7911190.06772176,"GNS",55,2
"135",135,135,100522941709845,39116159299113.5,5573044044.49352,7936417.04140536,"GNS",55,3
"136",136,136,105769141124743,44463494327463.3,5589846720.46657,7874478.12037166,"GNS",56,1
"137",137,137,106040122980380,44732413929426.6,5589014344.3696,7873816.78231124,"GNS",56,2
"138",138,138,105981236410535,44976913399466.6,5587348932.37727,7873139.10231207,"GNS",56,3
"139",139,139,101066723188785,36218525295763,5592344767.84625,7944363.59118803,"GNS",57,1
"140",140,140,100432761028098,36762210983658.3,5584553253.5188,7936668.1431674,"GNS",57,2
"141",141,141,102840410769524,37891949017242.3,5584155995.03071,7938980.82623824,"GNS",57,3
"142",142,142,106591713813667,41470916045965.3,5578580553.17718,7875489.67933459,"GNS",58,1
"143",143,143,103586199432533,42474201613292.8,5577216583.58565,7866592.60387678,"GNS",58,2
"144",144,144,103852710837535,42290322267980.9,5576357856.0318,7880065.8821393,"GNS",58,3
"145",145,145,103410151063506,41612040700105.6,5590047491.95782,7892560.17298902,"GNS",59,1
"146",146,146,101985276025833,39504487252297.7,5586404718.38157,7900578.6359746,"GNS",59,2
"147",147,147,104929366883734,43722372843129.1,5578628480.47442,7849124.20442658,"GNS",59,3
"148",148,148,98595291801889.7,35470081141842.3,5577574869.3032,7928129.63496452,"GNS",60,1
"149",149,149,97991407834724.3,34109225156940.1,5577441357.65213,7964818.15393574,"GNS",60,2
"150",150,150,99023155506267.7,36871472327497.5,5575132074.97136,7912522.70540028,"GNS",60,3
"151",151,151,108201580781623,45327956490715.4,5571795571.8836,7837886.5437873,"GNS",61,1
"152",152,152,104831308704180,41595587851306.5,5566056490.15315,7841100.68703016,"GNS",61,2
"153",153,153,107010962012992,44161194115768.1,5560590892.48611,7839061.74329949,"GNS",61,3
"154",154,154,103028729363805,36500024894939.9,5587740861.95185,7915119.0967831,"GNS",62,1
"155",155,155,99729381526130.6,36636613410941.5,5583208414.97105,7924696.2100427,"GNS",62,2
"156",156,156,104650780642428,37064146619737.4,5582642300.89323,7908074.82628517,"GNS",62,3
"157",157,157,105292901664622,37407782721396.9,5598382024.23993,7913481.19478796,"GNS",63,1
"158",158,158,104249717011303,38848993869621.3,5588125914.11423,7915120.00514326,"GNS",63,2
"159",159,159,103800391225258,37901498872720,5585757460.11776,7919465.37578015,"GNS",63,3
"160",160,160,102049953025381,37651435876496.6,5580013368.85909,7898850.78077946,"GNS",64,1
"161",161,161,103557229907301,42479176784250.8,5579707140.48825,7888536.66621085,"GNS",64,2
"162",162,162,100608241305473,36324808788224.7,5575360819.66902,7923262.83601996,"GNS",64,3
"163",163,163,105180967317090,43597944854881.9,5577313400.7736,7832114.52588778,"GNS",65,1
"164",164,164,104175593230801,42922153575195,5576567127.74999,7857329.41768227,"GNS",65,2
"165",165,165,104081648080521,42444302823293.5,5574632848.19291,7877602.59651057,"GNS",65,3
"166",166,166,102876369792222,36852890045486.2,5619804438.18522,7932238.5425072,"GNS",66,1
"167",167,167,101225636181433,33299058822499.4,5601121025.89612,7951917.67248111,"GNS",66,2
"168",168,168,103204719864975,35580840061843.9,5599255873.39001,7909816.89418343,"GNS",66,3
"169",169,169,105862151058616,40127519741074.3,5581387875.92598,7877491.3542029,"GNS",67,1
"170",170,170,104501804222480,41493889969606.6,5579610081.14267,7866889.10390659,"GNS",67,2
"171",171,171,106470931763298,41217361325092.6,5578118031.64918,7876960.94166219,"GNS",67,3
"172",172,172,105571813353511,42908689502227.6,5609532688.04829,7857054.27688362,"GNS",68,1
"173",173,173,104966373930058,42612408368318.2,5606321778.47648,7867086.8840337,"GNS",68,2
"174",174,174,104671489227412,43743865498489.4,5604982474.02044,7863922.36343647,"GNS",68,3
"175",175,175,103460742139537,37613761606392.1,5572233193.70313,7892725.12698369,"GNS",69,1
"176",176,176,98625769930458.4,34607509565123.6,5571932114.99,7964099.00179199,"GNS",69,2
"177",177,177,97426056299875,36055869995050.3,5571535827.52164,7940601.33258834,"GNS",69,3
"178",178,178,104446895860488,38128955023574.2,5593654464.67373,7899556.80061144,"GNS",70,1
"179",179,179,105712904110419,41074800455531,5592513978.37534,7875513.71594482,"GNS",70,2
"180",180,180,102033408824768,37021181210165.4,5591890400.03677,7923167.95543864,"GNS",70,3
"181",181,181,101545143980950,39409829534946.7,5585509006.79717,7920548.19953269,"GNS",71,1
"182",182,182,102226009260502,40487489501171.2,5584185783.75916,7908397.87568429,"GNS",71,2
"183",183,183,103266219836472,40609900231569.9,5582568363.28138,7884554.85378143,"GNS",71,3
"184",184,184,109644133377233,44738213133516.3,5592374803.80418,7837710.02111887,"GNS",72,1
"185",185,185,108224345192281,44401985784237.6,5591448198.20376,7849542.26115987,"GNS",72,2
"186",186,186,105484228632782,40821574925890.7,5589511954.9977,7891995.32708066,"GNS",72,3
"187",187,187,103760183491439,37464793300942.9,5587538085.15294,7888584.67767246,"GNS",73,1
"188",188,188,107254486869233,41880645246341.2,5584684895.07431,7846223.00768555,"GNS",73,2
"189",189,189,103150187269701,42018571444885.6,5581594684.42235,7907421.88969641,"GNS",73,3
"190",190,190,99441917527071.8,37241751390288.4,5588936850.60942,7916592.65247163,"GNS",76,1
"191",191,191,103478826280054,40927252405749.1,5583954239.95186,7886199.15244889,"GNS",76,2
"192",192,192,99030209249363.8,37223491851930.8,5583035593.12722,7945991.20891803,"GNS",76,3
"193",193,193,99502110050185.5,59926235157118.1,5405910217.27382,7713956.40781419,"GNB + TNB + GNS",51,1
"194",194,194,108031712546882,58557470677524,5477391103.25137,7711665.03470475,"GNB + TNB + GNS",51,2
"195",195,195,105870468675714,46132116773506.4,5576291637.81379,7843161.67969584,"GNB + TNB + GNS",51,3
"196",196,196,103153913399390,48750558791468.7,5541509298.36113,7811492.46904602,"GNB + TNB + GNS",51,4
"197",197,197,104856403772529,54330177404235.7,5504084296.46366,7763013.11385291,"GNB + TNB + GNS",51,5
"198",198,198,106437638202234,51841308157986.8,5532040029.57769,7811077.12721492,"GNB + TNB + GNS",51,6
"199",199,199,106468529102219,56767562531568,5493909322.71463,7730139.74775609,"GNB + TNB + GNS",51,7
"200",200,200,107053397025411,52818370580061.8,5529937252.55573,7783146.8427578,"GNB + TNB + GNS",51,8
"201",201,201,104019471414784,57269970584183.3,5485013175.13067,7738138.33914167,"GNB + TNB + GNS",51,9
"202",202,202,104553928073949,53032850417930.9,5515173630.39739,7802330.15849302,"GNB + TNB + GNS",51,10
"203",203,203,105571373382993,57332565538497.4,5477569567.83681,7733642.29716993,"GNB + TNB + GNS",51,11
"204",204,204,106941363373947,53325150071597.1,5507306467.19639,7769770.70722071,"GNB + TNB + GNS",51,12
"205",205,205,106329340514352,53119854749748.5,5509359751.04192,7773276.0348035,"GNB + TNB + GNS",51,13
"206",206,206,108146953077160,50641915547248.9,5542008672.18199,7793477.128375,"GNB + TNB + GNS",52,1
"207",207,207,100328810454996,45740785675607.9,5562989512.18128,7871948.00906048,"GNB + TNB + GNS",52,2
"208",208,208,97695872120928.3,60892205100093.4,5388471663.58198,7690766.36674886,"GNB + TNB + GNS",52,3
"209",209,209,97358096301363.9,60758624866107,5398512401.39072,7684909.59304543,"GNB + TNB + GNS",52,4
"210",210,210,106762915041346,53926984005205.6,5540237731.49757,7797184.70255083,"GNB + TNB + GNS",52,5
"211",211,211,106904560820420,52162174443389.3,5517549288.18174,7777487.8906107,"GNB + TNB + GNS",52,6
"212",212,212,99307925333984.7,59091988938831.6,5416094994.64831,7708254.74001886,"GNB + TNB + GNS",52,7
"213",213,213,100519670827125,54334196105250.5,5465305415.65061,7797861.35784218,"GNB + TNB + GNS",52,8
"214",214,214,101871715410850,47458304826954.7,5551655861.56281,7820312.11129581,"GNB + TNB + GNS",52,9
"215",215,215,101235506043718,47923364535024.6,5548035612.46093,7839006.23521319,"GNB + TNB + GNS",52,10
"216",216,216,97609023611658.2,56560462219603.1,5430510373.12983,7734660.21662506,"GNB + TNB + GNS",52,11
"217",217,217,99999256380222.4,55971136033551,5452402964.8182,7772181.83593799,"GNB + TNB + GNS",52,12
"218",218,218,100321975442187,54870751102090.5,5445646382.63112,7727288.89086473,"GNB + TNB + GNS",52,13
"219",219,219,100761432271346,47308693995495.9,5556076864.86525,7867168.41957892,"GNB + TNB + GNS",52,14
"220",220,220,99140786094397.1,59947898935128.6,5427426909.37784,7711703.85585051,"GNB + TNB + GNS",52,15
"221",221,221,107697758809740,51268106992774.5,5522386391.89314,7781792.73386499,"GNB + TNB + GNS",52,16
"222",222,222,106945808873828,51028686841072.1,5524908106.63055,7802726.04982642,"GNB + TNB + GNS",52,17
"223",223,223,98881687074158.6,56379785934359.6,5448140152.42068,7737989.57164676,"GNB + TNB + GNS",52,18
"224",224,224,97581929507447.5,60333538668757.5,5395792983.2929,7682026.11413814,"GNB + TNB + GNS",52,19
"225",225,225,100551963067662,41019799521432.7,5545416259.55585,7901680.44467054,"GNB + TNB + GNS",53,1
"226",226,226,97291671742055.9,56087140177022.6,5455562959.6111,7800085.14088193,"GNB + TNB + GNS",53,2
"227",227,227,108947759151696,48605833707829.5,5527398485.94566,7815964.56776348,"GNB + TNB + GNS",53,3
"228",228,228,99199218166631.6,65129928097764.2,5380205126.68321,7675997.54710605,"GNB + TNB + GNS",53,4
"229",229,229,101225427319350,42571658056105.2,5544546667.90169,7863713.87883974,"GNB + TNB + GNS",53,5
"230",230,230,99767311087265.5,63794009459405.7,5406055325.43559,7690500.87753955,"GNB + TNB + GNS",53,6
"231",231,231,100634393340527,61331184717293.5,5425709963.565,7716536.87998042,"GNB + TNB + GNS",53,7
"232",232,232,107160820869925,46627647493545,5542234746.53277,7825083.36831668,"GNB + TNB + GNS",53,8
"233",233,233,98499037995636.6,54402531160528.4,5463331987.35039,7796515.08566273,"GNB + TNB + GNS",53,9
"234",234,234,107424662660175,49479102483065.4,5505400042.68331,7790067.75234665,"GNB + TNB + GNS",53,10
"235",235,235,99549404652830,64561638681076.8,5393494631.61694,7685032.84899273,"GNB + TNB + GNS",53,11
"236",236,236,108657233667128,47887014150002.5,5529665319.05367,7788314.59299267,"GNB + TNB + GNS",53,12
"237",237,237,103562826848574,51742494403188.4,5481094059.657,7785305.26623095,"GNB + TNB + GNS",53,13
"238",238,238,99504039435332.8,60662862375947.1,5431153031.74752,7711430.81739171,"GNB + TNB + GNS",53,14
"239",239,239,106166758902385,52881765242079.2,5479915950.62394,7777642.22781363,"GNB + TNB + GNS",53,15
"240",240,240,106996844694738,48903977770583.7,5510060524.86818,7806301.09367953,"GNB + TNB + GNS",53,16
"241",241,241,104146528293966,51262442629115,5484114299.51351,7770021.56267345,"GNB + TNB + GNS",53,17
"242",242,242,100170343188409,62936692118120.5,5431038888.7304,7691424.14239598,"GNB + TNB + GNS",53,18
"243",243,243,100257390735006,56523967374232.2,5439595645.50859,7772626.41304819,"GNB + TNB + GNS",53,19
"244",244,244,99326324150327.3,58692113415963.5,5441029935.9123,7750549.16647794,"GNB + TNB + GNS",53,20
"245",245,245,107150130382819,46900583605346.7,5539948981.6678,7806884.45157726,"GNB + TNB + GNS",53,21
"246",246,246,107076838588764,50986119808004.3,5491185979.83446,7787385.55602141,"GNB + TNB + GNS",53,22
"247",247,247,99572138711620,57749161289582.9,5454649862.92011,7756985.33563967,"GNB + TNB + GNS",53,23
"248",248,248,106326343785390,50677146988966.4,5506265095.40501,7791750.93860334,"GNB + TNB + GNS",53,24
"249",249,249,98993064447788.1,58271341144738.9,5447898705.60409,7745736.37918006,"GNB + TNB + GNS",53,25
"250",250,250,99619832040024.8,54087663672882.8,5472295120.24673,7785720.69448877,"GNB + TNB + GNS",53,26
"251",251,251,100991693206856,53254819572231.1,5475467793.1477,7791641.41561336,"GNB + TNB + GNS",53,27
"252",252,252,99991008655875.7,52318806391242.6,5482475199.64675,7805832.66912966,"GNB + TNB + GNS",53,28
"253",253,253,98739468400638.1,53565055832135.2,5485707358.62702,7800632.52333911,"GNB + TNB + GNS",53,29
"254",254,254,99356218003524.2,57986098724557.6,5443837794.55473,7760216.92052702,"GNB + TNB + GNS",53,30
"255",255,255,106530437697440,49125392507370.2,5529523014.47267,7828890.98032455,"GNB + TNB + GNS",53,31
"256",256,256,100556426381368,54327768334279.6,5456407175.38603,7781111.90909854,"GNB + TNB + GNS",53,32
"257",257,257,98531904659241.9,51094760873760.4,5487799949.82013,7822823.81424503,"GNB + TNB + GNS",53,33
"258",258,258,97124245349338.5,61061691199389.7,5384843341.42773,7696910.77099267,"GNB + TNB + GNS",54,1
"259",259,259,107917547318501,49351591322743.9,5548239386.56086,7826804.97185367,"GNB + TNB + GNS",54,2
"260",260,260,107020968027137,59170003577616.2,5499828685.59866,7743590.59171188,"GNB + TNB + GNS",54,3
"261",261,261,105048360941964,53097136061099.8,5502919281.23279,7765549.43933782,"GNB + TNB + GNS",54,4
"262",262,262,101016249568320,59553393188858.4,5434590717.3595,7727780.42973757,"GNB + TNB + GNS",54,5
"263",263,263,100580453925206,60644245452108.2,5430793187.15396,7695634.88305334,"GNB + TNB + GNS",54,6
"264",264,264,103524111732679,49378943222336.1,5529326642.78371,7812160.54529252,"GNB + TNB + GNS",54,7
"265",265,265,104004563365430,51447651280077.1,5521602518.67843,7787821.21241432,"GNB + TNB + GNS",54,8
"266",266,266,107540318961609,50383619128459.5,5520888183.92898,7789457.74601258,"GNB + TNB + GNS",54,9
"267",267,267,108409547413566,55519921809828.3,5559696988.10688,7792437.00974484,"GNB + TNB + GNS",55,1
"268",268,268,105230107894189,49405679288061.9,5584748918.19445,7847787.61795446,"GNB + TNB + GNS",55,2
"269",269,269,100179332826204,63411384350877.2,5429121683.30742,7689162.00193478,"GNB + TNB + GNS",55,3
"270",270,270,106947001259967,51015442213273,5568665648.3119,7813341.08710971,"GNB + TNB + GNS",55,4
"271",271,271,107885050094326,60252277178022.6,5532737961.65858,7727913.85103365,"GNB + TNB + GNS",55,5
"272",272,272,103307014987785,62287743559212.5,5468465542.80107,7703010.62409454,"GNB + TNB + GNS",55,6
"273",273,273,104601305099972,56520018994851.8,5533918173.08573,7770529.58758709,"GNB + TNB + GNS",55,7
"274",274,274,101233737619474,62288360703739.3,5440613067.52667,7698198.97950276,"GNB + TNB + GNS",55,8
"275",275,275,103325466528022,60742906666179.5,5464848464.82032,7716250.92479791,"GNB + TNB + GNS",55,9
"276",276,276,107664870986505,55556687110958.3,5553042695.64871,7781134.1850878,"GNB + TNB + GNS",55,10
"277",277,277,105509508306082,52976505639404.2,5500190444.60862,7772541.69177322,"GNB + TNB + GNS",56,1
"278",278,278,97769412296475,59122484299450.8,5385916667.42398,7694388.97481756,"GNB + TNB + GNS",56,2
"279",279,279,100480534351241,37645856764647.5,5565946170.39508,7912121.75110476,"GNB + TNB + GNS",56,3
"280",280,280,96990764311506.8,57449431994663.4,5394322987.92499,7709587.70464873,"GNB + TNB + GNS",56,4
"281",281,281,103621339185233,44407438108753.6,5531996506.39602,7840775.58391158,"GNB + TNB + GNS",56,5
"282",282,282,103876887810825,51528252435080.3,5503955295.76814,7792109.99346797,"GNB + TNB + GNS",56,6
"283",283,283,100631615104838,39071582360796,5535111965.34104,7912867.29464665,"GNB + TNB + GNS",56,7
"284",284,284,101979404369070,56412836333153.3,5435280447.24284,7714869.6053419,"GNB + TNB + GNS",56,8
"285",285,285,101518817102138,55251914391715.3,5472166249.08179,7799276.69593277,"GNB + TNB + GNS",56,9
